uniquenames,finalname
pod_performance_worst,pod_performance_worst
pest_resistance_best,pest_resistance_best
pest_resistance_worst,pest_resistance_worst
iomass_yiield_best,biomass_yield_best
iomass_yiield_worst,biomass_yield_worst
variedad_c_2,drop10
slope,slope
soil_quality,soil_quality
lodging_tolerant_best,lodging_tolerance_best
lodging_tolerant_worst,lodging_tolerance_worst
seed_color_best,seed_color_best
seed_color_worst,seed_color_worst
straw_biomass_best,straw_biomass_best
straw_biomass_worst,straw_biomass_worst
variedad_c_8,drop11
drought_resistance_best,drought_resistance_best
drought_resistance_worst,drought_resistance_worst
taste_best,taste_best
taste_worst,taste_worst
variedad_c_9,drop12
variedad_c_6,drop13
fertilization,fertilization
name_of_the_local_variety,name_of_the_local_variety
lodging_best,lodging_tolerance_best
lodging_worst,lodging_tolerance_worst
germination_best,germination_best
germination_worst,germination_worst
test_best,taste_best
test_worst,taste_worst
market_value_best,market_value_best
market_value_worst,market_value_worst
plant_architectureheight_best,plant_architecture_best
plant_architectureheight_worst,plant_architecture_worst
lodging_resistance_best,lodging_tolerance_best
lodging_resistance_worst,lodging_tolerance_worst
seed_size_best,seed_size_best
seed_size_worst,seed_size_worst
seed_olor_best,seed_color_best
seed_olor_worst,seed_color_worst
flour_and_baking_quality_best,flour_and_baking_quality_best
flour_and_baking_quality_worst,flour_and_baking_quality_worst
nutritional_quality_best,nutritional_quality_best
nutritional_quality_worst,nutritional_quality_worst
food_test_best,taste_best
food_test_worst,taste_worst
soil_texture,soil_texture
flouring_and_baking_quality_best,flour_and_baking_quality_best
flouring_and_baking_quality_worst,flour_and_baking_quality_worst
lodging_tolerance_best,lodging_tolerance_best
lodging_tolerance_worst,lodging_tolerance_worst
straw_iomass_best,biomass_yield_best
straw_iomass_worst,biomass_yield_worst
soil_affected_by_salt,soil_affected_by_salt
leaf_best,leaf_best
leaf_worst,leaf_worst
number_of_tillers_best,tillering_capacity_best
number_of_tillers_worst,tillering_capacity_worst
grain_per_spike_best,grain_per_spike_best
grain_per_spike_worst,grain_per_spike_worst
shoot_fly_resistance_best,shoot_fly_resistance_best
shoot_fly_resistance_worst,shoot_fly_resistance_worst
ear_length_best,ear_length_best
ear_length_worst,ear_length_worst
number_of_ear_per_plant_best,number_of_ear_per_plant_best
number_of_ear_per_plant_worst,number_of_ear_per_plant_worst
kernel_size_best,kernel_size_best
kernel_size_worst,kernel_size_worst
flouring_and_aking_quality_best,flour_and_baking_quality_best
flouring_and_aking_quality_worst,flour_and_baking_quality_worst
productive_tiller_best,productive_tiller_best
productive_tiller_worst,productive_tiller_worst
tillering_number_best,tillering_capacity_best
tillering_number_worst,tillering_capacity_worst
olor_best,color_best
olor_worst,color_worst
insect_and_pest_resistance_best,pest_resistance_best
insect_and_pest_resistance_worst,pest_resistance_worst
straw_yield_best,straw_yield_best
straw_yield_worst,straw_yield_worst
irrigation,irrigation
long_spike_best,spike_length_best
long_spike_worst,spike_length_worst
has_more_tillers_best,tillering_capacity_best
has_more_tillers_worst,tillering_capacity_worst
the_spike_has_more_than_2rows_best,the_spike_has_more_than_2rows_best
the_spike_has_more_than_2rows_worst,the_spike_has_more_than_2rows_worst
white_seed_color_best,white_seed_color_best
white_seed_color_worst,white_seed_color_worst
perception_best,perception_best
perception_worst,perception_worst
not_fall_due_to_height_best,not_fall_due_to_height_best
not_fall_due_to_height_worst,not_fall_due_to_height_worst
iomass_best,biomass_yield_best
iomass_worst,biomass_yield_worst
rust_tolerance_best,rust_tolerance_best
rust_tolerance_worst,rust_tolerance_worst
flour_and_aking_quality_best,flour_and_baking_quality_best
flour_and_aking_quality_worst,flour_and_baking_quality_worst
number_of_tiller_best,tillering_capacity_best
number_of_tiller_worst,tillering_capacity_worst
market_value_color_best,market_value_best
market_value_color_worst,market_value_worst
injera_quality_best,injera_quality_best
injera_quality_worst,injera_quality_worst
ranching_best,ranching_best
ranching_worst,ranching_worst
uniform_maturity_best,uniform_maturity_best
uniform_maturity_worst,uniform_maturity_worst
good_seedling_best,good_seedling_best
good_seedling_worst,good_seedling_worst
number_of_seed_per_pods_best,number_of_seed_per_pods_best
number_of_seed_per_pods_worst,number_of_seed_per_pods_worst
number_of_pods_per_plant_best,number_of_pods_per_plant_best
number_of_pods_per_plant_worst,number_of_pods_per_plant_worst
iomas_yield_best,biomass_yield_best
iomas_yield_worst,biomass_yield_worst
egin_flowering_at_bottom_best,begin_flowering_at_bottom_best
egin_flowering_at_bottom_worst,begin_flowering_at_bottom_worst
steam_strength_best,steam_strength_best
steam_strength_worst,steam_strength_worst
more_tillers_best,tillering_capacity_best
more_tillers_worst,tillering_capacity_worst
ig_seed_sith_best,drop14
ig_seed_sith_worst,drop15
tillering_apacity_best,tillering_capacity_best
tillering_apacity_worst,tillering_capacity_worst
foliage_best,leaf_best
foliage_worst,leaf_worst
number_of_seeds_per_pod_best,number_of_seed_per_pods_best
number_of_seeds_per_pod_worst,number_of_seed_per_pods_worst
sees_size_best,seed_size_best
sees_size_worst,seed_size_worst
water_lodging_resistance_best,lodging_tolerance_best
water_lodging_resistance_worst,lodging_tolerance_worst
maturity_uniformity_best,maturity_uniformity_best
maturity_uniformity_worst,maturity_uniformity_worst
seed_whiteness_best,white_seed_color_best
seed_whiteness_worst,white_seed_color_worst
variedad_c_7,drop16
treshability_best,treshability_best
treshability_worst,treshability_worst
pod_length_best,pod_length_best
pod_length_worst,pod_length_worst
grain_per_pod_best,number_of_seed_per_pods_best
grain_per_pod_worst,number_of_seed_per_pods_worst
number_of_tillering_best,tillering_capacity_best
number_of_tillering_worst,tillering_capacity_worst
rust_resistance_best,rust_tolerance_best
rust_resistance_worst,rust_tolerance_worst
stalk_yield_best,stalk_yield_best
stalk_yield_worst,stalk_yield_worst
soft_enjera_best,injera_softness_best
soft_enjera_worst,injera_softness_worst
rain_resistance_best,rain_resistance_best
rain_resistance_worst,rain_resistance_worst
ranch_best,ranching_best
ranch_worst,ranching_worst
insect_pest_resistance_best,pest_resistance_best
insect_pest_resistance_worst,pest_resistance_worst
number_of_branches_best,number_of_branches_best
number_of_branches_worst,number_of_branches_worst
pod_number_best,number_of_pods_per_plant_best
pod_number_worst,number_of_pods_per_plant_worst
pinacle_best,panicle_performance_best
pinacle_worst,panicle_performance_worst
variedad_c_4,drop17
cooking_quality_best,cooking_quality_best
cooking_quality_worst,cooking_quality_worst
variedad_c_5,drop18
variedad_c_13,drop19
variedad_c_12,drop20
flowering_best,flowering_best
flowering_worst,flowering_worst
spike_qualit_best,spike_quality_best
spike_qualit_worst,spike_quality_worst
logging_best,lodging_tolerance_best
logging_worst,lodging_tolerance_worst
stress_tolerant_best,stress_tolerant_best
stress_tolerant_worst,stress_tolerant_worst
local_adaptability_best,adaptability_to_local_environment_best
local_adaptability_worst,adaptability_to_local_environment_worst
no_of_ear_per_plant_best,number_of_ear_per_plant_best
no_of_ear_per_plant_worst,number_of_ear_per_plant_worst
spike_lenght_best,spike_length_best
spike_lenght_worst,spike_length_worst
tillering_best,tillering_capacity_best
tillering_worst,tillering_capacity_worst
waterlogging_best,lodging_tolerance_best
waterlogging_worst,lodging_tolerance_worst
water_lodging_tolerance_best,lodging_tolerance_best
water_lodging_tolerance_worst,lodging_tolerance_worst
panicle_length_best,panicle_performance_best
panicle_length_worst,panicle_performance_worst
white_seed_olor_best,white_seed_color_best
white_seed_olor_worst,white_seed_color_worst
early_maturity_best,faster_maturity_best
early_maturity_worst,faster_maturity_worst
shattering_best,shattering_best
shattering_worst,shattering_worst
stalk_used_for_various_purposes_best,stalk_used_for_various_purposes_best
stalk_used_for_various_purposes_worst,stalk_used_for_various_purposes_worst
good_enjera_quality_best,injera_quality_best
good_enjera_quality_worst,injera_quality_worst
good_for_different_food_preparation_best,good_for_different_food_preparation_best
good_for_different_food_preparation_worst,good_for_different_food_preparation_worst
ranch_number_per_plant_best,ranching_best
ranch_number_per_plant_worst,ranching_worst
ground_over_best,ground_cover_best
ground_over_worst,ground_cover_worst
pod_per_plant_best,number_of_pods_per_plant_best
pod_per_plant_worst,number_of_pods_per_plant_worst
flour_best,flour_and_baking_quality_best
flour_worst,flour_and_baking_quality_worst
tiller_best,tillering_capacity_best
tiller_worst,tillering_capacity_worst
striga_best,striga_resistance_best
striga_worst,striga_resistance_worst
heavy_stem_best,heavy_stem_best
heavy_stem_worst,heavy_stem_worst
pods_per_plant_best,number_of_pods_per_plant_best
pods_per_plant_worst,number_of_pods_per_plant_worst
overall_performance_best_1,overall_performance_best_1
overall_performance_worst_1,overall_performance_worst_1
leaves_of_plant_best,leaf_best
leaves_of_plant_worst,leaf_worst
insect_pest_resistant_best,pest_resistance_best
insect_pest_resistant_worst,pest_resistance_worst
rust_resistence_best,rust_tolerance_best
rust_resistence_worst,rust_tolerance_worst
seeds_per_pod_best,number_of_seed_per_pods_best
seeds_per_pod_worst,number_of_seed_per_pods_worst
production_tiller_best,productive_tiller_best
production_tiller_worst,productive_tiller_worst
mount_of_flour_best,mount_of_flour_best
mount_of_flour_worst,mount_of_flour_worst
tiller_number_best,tillering_capacity_best
tiller_number_worst,tillering_capacity_worst
ranch_noplant_best,ranching_best
ranch_noplant_worst,ranching_worst
ground_cover_best,ground_cover_best
ground_cover_worst,ground_cover_worst
spike_llength_best,spike_length_best
spike_llength_worst,spike_length_worst
