Name,Description,OntologyID,ValueType,Unit,ControlledVocabulary
flour_and_baking_quality_best,which variety was the most preferred among the three tested for Flour And Baking Quality ,,vocabulary encoding scheme,,A|B|C
flour_and_baking_quality_worst,which variety was the least preferred among the three tested for Flour And Baking Quality ,,vocabulary encoding scheme,,A|B|C
nutritional_quality_best,which variety was the most preferred among the three tested for Nutritional Quality ,,vocabulary encoding scheme,,A|B|C
nutritional_quality_worst,which variety was the least preferred among the three tested for Nutritional Quality ,,vocabulary encoding scheme,,A|B|C
leaf_best,which variety was the most preferred among the three tested for Leaf ,,vocabulary encoding scheme,,A|B|C
leaf_worst,which variety was the least preferred among the three tested for Leaf ,,vocabulary encoding scheme,,A|B|C
grain_per_spike_best,which variety was the most preferred among the three tested for Grain Per Spike ,,vocabulary encoding scheme,,A|B|C
grain_per_spike_worst,which variety was the least preferred among the three tested for Grain Per Spike ,,vocabulary encoding scheme,,A|B|C
shoot_fly_resistance_best,which variety was the most preferred among the three tested for Shoot Fly Resistance ,,vocabulary encoding scheme,,A|B|C
shoot_fly_resistance_worst,which variety was the least preferred among the three tested for Shoot Fly Resistance ,,vocabulary encoding scheme,,A|B|C
ear_length_best,which variety was the most preferred among the three tested for Ear Length ,,vocabulary encoding scheme,,A|B|C
ear_length_worst,which variety was the least preferred among the three tested for Ear Length ,,vocabulary encoding scheme,,A|B|C
number_of_ear_per_plant_best,which variety was the most preferred among the three tested for Number Of Ear Per Plant ,,vocabulary encoding scheme,,A|B|C
number_of_ear_per_plant_worst,which variety was the least preferred among the three tested for Number Of Ear Per Plant ,,vocabulary encoding scheme,,A|B|C
kernel_size_best,which variety was the most preferred among the three tested for Kernel Size ,,vocabulary encoding scheme,,A|B|C
kernel_size_worst,which variety was the least preferred among the three tested for Kernel Size ,,vocabulary encoding scheme,,A|B|C
productive_tiller_best,which variety was the most preferred among the three tested for Productive Tiller ,,vocabulary encoding scheme,,A|B|C
productive_tiller_worst,which variety was the least preferred among the three tested for Productive Tiller ,,vocabulary encoding scheme,,A|B|C
straw_yield_best,which variety was the most preferred among the three tested for Straw Yield ,,vocabulary encoding scheme,,A|B|C
straw_yield_worst,which variety was the least preferred among the three tested for Straw Yield ,,vocabulary encoding scheme,,A|B|C
irrigation,whether the plot was irrigated or not,,vocabulary encoding scheme,,Yes|No
the_spike_has_more_than_2rows_best,which variety was the most preferred among the three tested for The Spike Has More Than 2rows ,,vocabulary encoding scheme,,A|B|C
the_spike_has_more_than_2rows_worst,which variety was the least preferred among the three tested for The Spike Has More Than 2rows ,,vocabulary encoding scheme,,A|B|C
white_seed_color_best,which variety was the most preferred among the three tested for White Seed Color ,,vocabulary encoding scheme,,A|B|C
white_seed_color_worst,which variety was the least preferred among the three tested for White Seed Color ,,vocabulary encoding scheme,,A|B|C
perception_best,which variety was the most preferred among the three tested for Perception ,,vocabulary encoding scheme,,A|B|C
perception_worst,which variety was the least preferred among the three tested for Perception ,,vocabulary encoding scheme,,A|B|C
not_fall_due_to_height_best,which variety was the most preferred among the three tested for Not Fall Due To Height ,,vocabulary encoding scheme,,A|B|C
not_fall_due_to_height_worst,which variety was the least preferred among the three tested for Not Fall Due To Height ,,vocabulary encoding scheme,,A|B|C
rust_tolerance_best,which variety was the most preferred among the three tested for Rust Tolerance ,,vocabulary encoding scheme,,A|B|C
rust_tolerance_worst,which variety was the least preferred among the three tested for Rust Tolerance ,,vocabulary encoding scheme,,A|B|C
injera_quality_best,which variety was the most preferred among the three tested for Injera Quality ,,vocabulary encoding scheme,,A|B|C
injera_quality_worst,which variety was the least preferred among the three tested for Injera Quality ,,vocabulary encoding scheme,,A|B|C
ranching_best,which variety was the most preferred among the three tested for Ranching ,,vocabulary encoding scheme,,A|B|C
ranching_worst,which variety was the least preferred among the three tested for Ranching ,,vocabulary encoding scheme,,A|B|C
uniform_maturity_best,which variety was the most preferred among the three tested for Uniform Maturity ,,vocabulary encoding scheme,,A|B|C
uniform_maturity_worst,which variety was the least preferred among the three tested for Uniform Maturity ,,vocabulary encoding scheme,,A|B|C
good_seedling_best,which variety was the most preferred among the three tested for Good Seedling ,,vocabulary encoding scheme,,A|B|C
good_seedling_worst,which variety was the least preferred among the three tested for Good Seedling ,,vocabulary encoding scheme,,A|B|C
number_of_seed_per_pods_best,which variety was the most preferred among the three tested for Number Of Seed Per Pods ,,vocabulary encoding scheme,,A|B|C
number_of_seed_per_pods_worst,which variety was the least preferred among the three tested for Number Of Seed Per Pods ,,vocabulary encoding scheme,,A|B|C
number_of_pods_per_plant_best,which variety was the most preferred among the three tested for Number Of Pods Per Plant ,,vocabulary encoding scheme,,A|B|C
number_of_pods_per_plant_worst,which variety was the least preferred among the three tested for Number Of Pods Per Plant ,,vocabulary encoding scheme,,A|B|C
begin_flowering_at_bottom_best,which variety was the most preferred among the three tested for Begin Flowering At Bottom ,,vocabulary encoding scheme,,A|B|C
begin_flowering_at_bottom_worst,which variety was the least preferred among the three tested for Begin Flowering At Bottom ,,vocabulary encoding scheme,,A|B|C
steam_strength_best,which variety was the most preferred among the three tested for Steam Strength ,,vocabulary encoding scheme,,A|B|C
steam_strength_worst,which variety was the least preferred among the three tested for Steam Strength ,,vocabulary encoding scheme,,A|B|C
maturity_uniformity_best,which variety was the most preferred among the three tested for Maturity Uniformity ,,vocabulary encoding scheme,,A|B|C
maturity_uniformity_worst,which variety was the least preferred among the three tested for Maturity Uniformity ,,vocabulary encoding scheme,,A|B|C
treshability_best,which variety was the most preferred among the three tested for Treshability ,,vocabulary encoding scheme,,A|B|C
treshability_worst,which variety was the least preferred among the three tested for Treshability ,,vocabulary encoding scheme,,A|B|C
pod_length_best,which variety was the most preferred among the three tested for Pod Length ,,vocabulary encoding scheme,,A|B|C
pod_length_worst,which variety was the least preferred among the three tested for Pod Length ,,vocabulary encoding scheme,,A|B|C
stalk_yield_best,which variety was the most preferred among the three tested for Stalk Yield ,,vocabulary encoding scheme,,A|B|C
stalk_yield_worst,which variety was the least preferred among the three tested for Stalk Yield ,,vocabulary encoding scheme,,A|B|C
injera_softness_best,which variety was the most preferred among the three tested for Injera Softness ,,vocabulary encoding scheme,,A|B|C
injera_softness_worst,which variety was the least preferred among the three tested for Injera Softness ,,vocabulary encoding scheme,,A|B|C
rain_resistance_best,which variety was the most preferred among the three tested for Rain Resistance ,,vocabulary encoding scheme,,A|B|C
rain_resistance_worst,which variety was the least preferred among the three tested for Rain Resistance ,,vocabulary encoding scheme,,A|B|C
number_of_branches_best,which variety was the most preferred among the three tested for Number Of Branches ,,vocabulary encoding scheme,,A|B|C
number_of_branches_worst,which variety was the least preferred among the three tested for Number Of Branches ,,vocabulary encoding scheme,,A|B|C
cooking_quality_best,which variety was the most preferred among the three tested for Cooking Quality ,,vocabulary encoding scheme,,A|B|C
cooking_quality_worst,which variety was the least preferred among the three tested for Cooking Quality ,,vocabulary encoding scheme,,A|B|C
flowering_best,which variety was the most preferred among the three tested for Flowering ,,vocabulary encoding scheme,,A|B|C
flowering_worst,which variety was the least preferred among the three tested for Flowering ,,vocabulary encoding scheme,,A|B|C
spike_quality_best,which variety was the most preferred among the three tested for Spike Quality ,,vocabulary encoding scheme,,A|B|C
spike_quality_worst,which variety was the least preferred among the three tested for Spike Quality ,,vocabulary encoding scheme,,A|B|C
stress_tolerant_best,which variety was the most preferred among the three tested for Stress Tolerant ,,vocabulary encoding scheme,,A|B|C
stress_tolerant_worst,which variety was the least preferred among the three tested for Stress Tolerant ,,vocabulary encoding scheme,,A|B|C
shattering_best,which variety was the most preferred among the three tested for Shattering ,,vocabulary encoding scheme,,A|B|C
shattering_worst,which variety was the least preferred among the three tested for Shattering ,,vocabulary encoding scheme,,A|B|C
stalk_used_for_various_purposes_best,which variety was the most preferred among the three tested for Stalk Used For Various Purposes ,,vocabulary encoding scheme,,A|B|C
stalk_used_for_various_purposes_worst,which variety was the least preferred among the three tested for Stalk Used For Various Purposes ,,vocabulary encoding scheme,,A|B|C
good_for_different_food_preparation_best,which variety was the most preferred among the three tested for Good For Different Food Preparation ,,vocabulary encoding scheme,,A|B|C
good_for_different_food_preparation_worst,which variety was the least preferred among the three tested for Good For Different Food Preparation ,,vocabulary encoding scheme,,A|B|C
ground_cover_best,which variety was the most preferred among the three tested for Ground Cover ,,vocabulary encoding scheme,,A|B|C
ground_cover_worst,which variety was the least preferred among the three tested for Ground Cover ,,vocabulary encoding scheme,,A|B|C
striga_resistance_best,which variety was the most preferred among the three tested for Striga Resistance ,,vocabulary encoding scheme,,A|B|C
striga_resistance_worst,which variety was the least preferred among the three tested for Striga Resistance ,,vocabulary encoding scheme,,A|B|C
heavy_stem_best,which variety was the most preferred among the three tested for Heavy Stem ,,vocabulary encoding scheme,,A|B|C
heavy_stem_worst,which variety was the least preferred among the three tested for Heavy Stem ,,vocabulary encoding scheme,,A|B|C
mount_of_flour_best,which variety was the most preferred among the three tested for Mount Of Flour ,,vocabulary encoding scheme,,A|B|C
mount_of_flour_worst,which variety was the least preferred among the three tested for Mount Of Flour ,,vocabulary encoding scheme,,A|B|C
